"name","year","country_id","state_id","city"
"Radiation Manta 2023",2023,"Ecuador","Manabi (EC)","Manta"
"Radiation Portoviejo 2023",2023,"Ecuador","Manabi (EC)","Portoviejo"
"Radiationn Chone 2023",2023,"Ecuador","Manabi (EC)","Chone"
"Radiation Jipijapa 2023",2023,"Ecuador","Manabi (EC)","Jipijapa"
"Radiation Montecristi 2023",2023,"Ecuador","Manabi (EC)","Montecristi"
"Radiation El Carmen 2023",2023,"Ecuador","Manabi (EC)","El Carmen"
"Radiation Jaramijo 2023",2023,"Ecuador","Manabi (EC)","Jaramijo"
"Radiation Flavio Alfaro 2023",2023,"Ecuador","Manabi (EC)","Flavio Alfaro"
"Radiation Junin 2023",2023,"Ecuador","Manabi (EC)","Junin"
"Radiation Pajan 2023",2023,"Ecuador","Manabi (EC)","Pajan"
"Radiation Pedernales 2023",2023,"Ecuador","Manabi (EC)","Pedernales"
"Radiation Rocafuerte 2023",2023,"Ecuador","Manabi (EC)","Rocafuerte"
